   8822 function calls (8505 primitive calls) in 5.524 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      8/1    0.000    0.000    5.524    5.524 {built-in method builtins.exec}
        1    5.513    5.513    5.524    5.524 profiling.py:1(<module>)
     10/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:1002(_find_and_load)
     10/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     10/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:659(_load_unlocked)
      7/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap_external>:844(exec_module)
     13/1    0.000    0.000    0.007    0.007 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
        1    0.000    0.000    0.007    0.007 middleware.py:6(<module>)
        1    0.000    0.000    0.007    0.007 mathlib.py:6(<module>)
        1    0.000    0.000    0.006    0.006 treeClass.py:6(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:17(<module>)
        4    0.000    0.000    0.004    0.001 mathlib.py:116(evaluate)
        4    0.000    0.000    0.003    0.001 re.py:250(compile)
        4    0.000    0.000    0.003    0.001 re.py:289(_compile)
        4    0.000    0.000    0.003    0.001 sre_compile.py:759(compile)
       39    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.002    0.000 treeClass.py:73(__init__)
        4    0.001    0.000    0.002    0.000 treeClass.py:92(build_tree)
      326    0.001    0.000    0.002    0.000 __init__.py:2099(debug)
        4    0.000    0.000    0.002    0.000 sre_parse.py:937(parse)
     20/4    0.000    0.000    0.002    0.000 sre_parse.py:435(_parse_sub)
     29/4    0.001    0.000    0.002    0.000 sre_parse.py:493(_parse)
        4    0.001    0.000    0.001    0.000 mathlib.py:56(to_postfix)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:916(get_code)
        4    0.000    0.000    0.001    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.001    0.001 __init__.py:439(StrFormatStyle)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:901(_find_spec)
     61/4    0.000    0.000    0.001    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
        1    0.000    0.000    0.001    0.001 string.py:69(__init_subclass__)
        1    0.000    0.000    0.001    0.001 __init__.py:411(PercentStyle)
       19    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:645(_compile_bytecode)
        7    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     50/4    0.000    0.000    0.001    0.000 treeClass.py:173(evaluate_tree)
       20    0.000    0.000    0.001    0.000 sre_compile.py:276(_optimize_charset)
      326    0.000    0.000    0.001    0.000 __init__.py:1424(debug)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 __init__.py:1908(basicConfig)
      431    0.000    0.000    0.000    0.000 sre_parse.py:254(get)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
      139    0.000    0.000    0.000    0.000 mathlib.py:35(is_operator)
      326    0.000    0.000    0.000    0.000 __init__.py:1689(isEnabledFor)
        8    0.000    0.000    0.000    0.000 codecs.py:319(decode)
1100/1036    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1171(create_module)
       39    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
      512    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
       39    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      349    0.000    0.000    0.000    0.000 sre_parse.py:164(__getitem__)
    74/17    0.000    0.000    0.000    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.000    0.000 __init__.py:857(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1049(__init__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
      100    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
      755    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
